1,7,8
2,8,18
3,2,12
18,6,38
19,4,55
20,5,46
21,4,33
22,4,48
23,3,47
24,6,58
25,1,46
26,10,41
61,10,78
62,8,78
79,8,89
80,6,90
93,5,100
94,9,113
95,2,106
96,6,104
97,4,111
119,5,129
120,6,142
121,5,138
122,4,142
123,7,150
124,4,138
150,1,151
151,7,158
158,8,184
159,7,210
160,8,216
161,10,184
162,4,198
163,6,173
164,1,211
165,6,178
166,3,195
167,5,180
216,1,238
217,9,230
218,6,226
219,10,233
220,4,246
246,4,297
247,9,268
248,9,273
249,9,260
250,3,260
251,4,269
252,1,300
253,5,292
254,10,284
300,1,306
301,6,331
302,3,316
303,5,325
304,1,311
305,10,319
306,6,314
332,2,350
333,5,340
334,6,345
335,1,337
336,4,341
350,2,402
351,10,361
352,6,395
353,3,381
354,9,397
355,1,368
356,4,363
357,6,380
358,2,390
359,9,394
402,1,403
403,9,427
404,4,435
405,1,415
406,5,422
407,3,432
408,9,438
409,5,429
439,9,452
440,2,473
441,6,460
442,1,462
443,4,461
444,3,462
445,9,465
473,1,483
474,7,483
475,2,480
476,2,480
485,2,487
487,7,494
494,7,502
495,9,504
510,3,513
513,4,517
