0, -1
1, 1
2, 1
3, 3
4, 1
5, 1
6, 1
7, 1
8, 1
9, 1
10, 1
11, 2
12, 2
13, 2
14, 2
15, 2
16, 4
17, 4
18, 4
19, 4
20, 4
21, 4
22, 4
23, 4
24, 4
25, 4
26, 5
27, 6
28, 6
29, 5
30, 5
31, 5
32, 5
33, 5
34, 5
35, 5
36, 5
37, 16
38, 17
39, 17
40, 17
41, 17
42, 17
43, 5
44, 10
45, 10
46, 10
47, 10
48, 10
49, 10
50, 13
51, 7
52, 7
53, 7
54, 14
55, 14
56, 14
57, 14
58, 14
59, 14
60, 14
61, 14
62, 14
63, 12
64, 12
65, 12
66, 12
67, 12
68, 12
69, 12
70, 12
71, 12
72, 12
73, 11
74, 11
75, 11
76, 11
77, 8
78, 8
79, 8
80, 8
81, 8
82, 8
83, 8
84, 8
85, 8
86, 15
87, 15
88, 15
89, 15
90, 15
91, 20
92, 20
93, 20
94, 20
95, 18
96, 18
97, 18
98, 18
99, 18
100, 18
101, 18
102, 18
103, 9
104, 9
105, 9
106, 9
107, 9
108, 9
109, 9
110, 9
111, 9
112, 19
113, 19
114, 19
115, 19
116, 19
117, 19
118, 19
119, 19
120, 21
121, 21
122, 23
123, 23
124, 23
125, 23
126, 23
127, 21
128, 21
129, 21
130, 21
131, 21
132, 28
133, 28
134, 28
135, 28
136, 28
137, 28
138, 35
139, 35
140, 35
141, 35
142, 39
143, 39
144, 39
145, 39
146, 39
147, 24
148, 24
149, 24
150, 24
151, 24
152, 24
153, 24
154, 24
155, 24
156, 24
157, 25
158, 25
159, 25
160, 25
161, 25
162, 25
163, 25
164, 25
165, 31
166, 31
167, 31
168, 37
169, 37
170, 37
171, 27
172, 27
173, 27
174, 27
175, 27
176, 27
177, 27
178, 27
179, 33
180, 33
181, 33
182, 33
183, 33
184, 33
185, 22
186, 22
187, 32
188, 34
189, 34
190, 34
191, 34
192, 34
193, 34
194, 34
195, 34
196, 36
197, 36
198, 40
199, 29
200, 29
201, 26
202, 26
203, 26
204, 26
205, 30
206, 38
207, 38
208, 38
209, 38
210, 38
