-1,0,0
1,1,7
3,8,9
2,10,17
4,18,20
7,21,24
4,25,27
12,28,37
6,38,42
11,43,43
9,44,46
8,47,50
5,51,54
10,55,60
13,61,70
14,71,78
15,79,86
16,87,92
17,93,97
20,98,103
19,104,105
21,106,109
18,110,118
22,119,123
24,124,128
27,129,132
23,133,138
25,139,142
26,143,149
28,150,150
29,151,157
30,158,162
35,163,168
37,169,174
39,175,179
30,180,182
33,183,192
38,193,195
34,196,199
31,200,206
36,207,207
32,208,215
40,216,216
41,217,217
42,218,223
41,224,231
43,232,241
44,242,245
45,246,246
46,247,248
48,249,257
49,258,260
46,261,267
50,268,271
47,272,280
53,281,290
52,291,295
45,296,298
51,299,299
54,300,300
55,301,301
56,302,303
58,304,304
56,305,305
60,306,311
59,312,321
57,322,326
55,327,331
61,332,332
62,333,334
64,335,335
62,336,338
65,339,342
63,343,348
61,349,349
66,350,350
67,351,360
72,361,364
71,365,365
73,366,371
69,372,374
74,375,376
75,377,385
68,386,391
70,392,400
66,401,401
76,402,402
77,403,404
79,405,405
80,406,410
77,411,417
83,418,422
81,423,425
78,426,429
82,430,438
84,439,447
86,448,453
88,454,457
87,458,458
89,459,461
90,462,470
85,471,472
91,473,473
92,474,474
93,475,476
94,477,478
92,479,484
95,485,486
96,487,493
97,494,500
98,501,509
99,510,512
100,513,517
